ticker,tipo
GOAU3,equity
BTTL3,equity
BMYB34,equity
SNSY3,equity
GEPA4,equity
MERC4,equity
KLBN3,equity
UPAC34,equity
GSHP3,equity
CLSC4,equity
CTNM4,equity
SBUB34,equity
PTNT3,equity
TUPY3,equity
LUPA3,equity
VIVR3,equity
BEES3,equity
GPIV33,equity
BIIB34,equity
SULA4,equity
COWC34,equity
CEDO4,equity
AALR3,equity
SLED3,equity
DIRR3,equity
NTCO3,equity
MNDL3,equity
FESA3,equity
TCNO3,equity
EQMA5B,equity
BOBR4,equity
EQTL3,equity
NFLX34,equity
MGEL3,equity
BRAP4,equity
BMEB3,equity
LIPR3,equity
MEAL3,equity
ROMI3,equity
VULC3,equity
PLAS3,equity
BIDI3,equity
KLBN11,equity
LLIS3,equity
FRIO3,equity
CSRN6,equity
EMAE3,equity
PEAB3,equity
MMXM3,equity
CEED3,equity
CEED4,equity
DEAI34,equity
UGPA3,equity
QUAL3,equity
LCAM3,equity
HALI34,equity
LAME4,equity
BRGE3,equity
CMCS34,equity
MEND5,equity
ENAT3,equity
FRTA3,equity
RAIL3,equity
BRGE12,equity
BOXP34,equity
TPIS3,equity
ODPV3,equity
ALUP11,equity
BKBR3,equity
CESP5,equity
BBSE3,equity
RANI3,equity
GOLL4,equity
TCNO4,equity
LUXM3,equity
BGIP4,equity
METB34,equity
SPRI3,equity
CARD3,equity
MWET4,equity
RDNI3,equity
TKNO3,equity
BPAN4,equity
GILD34,equity
TWTR34,equity
MWET3,equity
HPQB34,equity
FIBR3,equity
HETA4,equity
TELB3,equity
TRVC34,equity
LPSB3,equity
VLOE34,equity
HYPE3,equity
RAPT4,equity
MNPR3,equity
RNEW4,equity
CASN3,equity
HBOR3,equity
PCAR3,equity
MSBR34,equity
CRPG6,equity
CTSA8,equity
DTCY3,equity
MAPT3,equity
TRPL4,equity
COCE5,equity
CMIG4,equity
CTNM3,equity
SCAR3,equity
ANIM3,equity
SANB4,equity
MTSA4,equity
BEEF3,equity
INEP3,equity
BERK34,equity
ROST34,equity
SBSP3,equity
ORCL34,equity
PETR4,equity
CRPG3,equity
GPAR3,equity
ATOM3,equity
JSLG3,equity
BRDT3,equity
BMIN4,equity
CEBR3,equity
EQPA3,equity
JBDU4,equity
COPH34,equity
CSRN5,equity
UPSS34,equity
PSSA3,equity
BSLI3,equity
BSLI4,equity
SQIA3,equity
REDE4,equity
BRAP3,equity
ELET6,equity
EQPA5,equity
LOGN3,equity
