Company,Symbol,Sector,Subsector,Segment,B3 Segment
524 Particip,QVQP3B,Financeiro,Outros,Outros,Balcão Organizado
Abc Brasil,ABCB4,Financeiro,Intermediários financeiros,Bancos,Nível 2
Aco Altona,EALT3,Bens industriais,Máquinas e equipamentos,Máq. e equip. construção e agrícolas,Tradicional
Aco Altona,EALT4,Bens industriais,Máquinas e equipamentos,Máq. e equip. construção e agrícolas,Tradicional
Advanced-Dh,ADHM3,Saúde,Serviços médico-hospitalares análises e diagnósticos,Serviços médico-hospitalares análises e diagnósticos,Tradicional
AES Tiete E,TIET3,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
AES Tiete E,TIET4,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
AES Tiete E,TIET11,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
Afluente T,AFLT3,Utilidade pública,Energia elétrica,Energia elétrica,Tradicional
Alef SA,ALEF3B,Financeiro,Outros,Outros,Balcão Organizado
Alfa Consorc,BRGE3,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE5,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE6,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE7,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE8,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE11,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Consorc,BRGE12,Financeiro,Previdência e seguros,Bancos,Tradicional
Alfa Financ,CRIV3,Financeiro,Intermediários financeiros,Soc. crédito e financiamento,Tradicional
Alfa Financ,CRIV4,Financeiro,Intermediários financeiros,Soc. crédito e financiamento,Tradicional
Alfa Holding,RPAD3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Alfa Holding,RPAD5,Financeiro,Intermediários financeiros,Bancos,Tradicional
Alfa Holding,RPAD6,Financeiro,Intermediários financeiros,Bancos,Tradicional
Alfa Invest,BRIV3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Alfa Invest,BRIV4,Financeiro,Intermediários financeiros,Bancos,Tradicional
Alianscsonae,ALSO3,Financeiro,Exploração de imóveis,Exploração de imóveis,Novo Mercado
Aliperti,APTI3,Financeiro,Agropecuária,Holdings diversificadas,Tradicional
Aliperti,APTI4,Financeiro,Agropecuária,Holdings diversificadas,Tradicional
All Norte,FRRN3B,Bens industriais,Transporte,Transporte ferroviário,Balcão Organizado
All Norte,FRRN5B,Bens industriais,Transporte,Transporte ferroviário,Balcão Organizado
All Norte,FRRN6B,Bens industriais,Transporte,Transporte ferroviário,Balcão Organizado
Alliar,AALR3,Saúde,Serviços médico-hospitalares análises e diagnósticos,Serviços médico-hospitalares análises e diagnósticos,Novo Mercado
Alpargatas,ALPA3,Consumo cíclico,Tecidos vestuário e calçados,Calçados,Nível 1
Alpargatas,ALPA4,Consumo cíclico,Tecidos vestuário e calçados,Calçados,Nível 1
Alper SA,APER3,Financeiro,Previdência e seguros,Corretoras de seguros,Novo Mercado
Alupar,ALUP3,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
Alupar,ALUP4,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
Alupar,ALUP11,Utilidade pública,Energia elétrica,Energia elétrica,Nível 2
Amazonia,BAZA3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Ambev SA,ABEV3,Consumo não cíclico,Bebidas,Cervejas e refrigerantes,Tradicional
Ampla Energ,CBEE3,Utilidade pública,Energia elétrica,Energia elétrica,Tradicional
Anima,ANIM3,Consumo cíclico,Diversos,Serviços educacionais,Novo Mercado
Arezzo Co,ARZZ3,Consumo cíclico,Comércio,Tecidos vestuário e calçados,Novo Mercado
Atompar,ATOM3,Financeiro,Outros,Outros,Tradicional
Azevedo,AZEV3,Bens industriais,Construção e engenharia,Construção pesada,Tradicional
Azevedo,AZEV4,Bens industriais,Construção e engenharia,Construção pesada,Tradicional
Azul SA,AZUL4,Bens industriais,Transporte,Transporte aéreo,Nível 2
B2W Digital,BTOW3,Consumo cíclico,Comércio,Produtos diversos,Novo Mercado
B3,B3SA3,Financeiro,Serviços financeiros diversos,Serviços financeiros diversos,Novo Mercado
Bahema,BAHI3,Financeiro,Diversos,Holdings diversificadas,Bovespa Mais
Banco BMG,BMGB4,Financeiro,Intermediários financeiros,Bancos,Nível 1
Banco Inter,BIDI3,Financeiro,Intermediários financeiros,Bancos,Nível 2
Banco Inter,BIDI4,Financeiro,Intermediários financeiros,Bancos,Nível 2
Banco Inter,BIDI11,Financeiro,Intermediários financeiros,Bancos,Nível 2
Banco Pan,BPAN4,Financeiro,Intermediários financeiros,Bancos,Nível 1
Banese,BGIP3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Banese,BGIP4,Financeiro,Intermediários financeiros,Bancos,Tradicional
Banestes,BEES3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Banestes,BEES4,Financeiro,Intermediários financeiros,Bancos,Tradicional
Banpara,BPAR3,Financeiro,Intermediários financeiros,Bancos,Tradicional
Banrisul,BRSR3,Financeiro,Intermediários financeiros,Bancos,Nível 1
Banrisul,BRSR5,Financeiro,Intermediários financeiros,Bancos,Nível 1
Banrisul,BRSR6,Financeiro,Intermediários financeiros,Bancos,Nível 1
