ticker,nasdaq,marketCap
A,y,30192214016.0
AA,y,2727505152.0
AACG,y,40307768.0
AAL,y,6626549760.0
AAMC,y,21304006.0
AAME,y,37811040.0
AAN,y,3667219456.0
AAOI,y,321364096.0
AAON,y,3048525568.0
AAP,y,10501309440.0
AAPL,y,1900303876096.0
AAT,y,1641819648.0
AAU,y,82223080.0
AAWW,y,1543298304.0
AAXN,y,5307523584.0
AB,y,2705002496.0
ABB,y,55178846208.0
ABBV,y,163987996672.0
ABC,y,20842897408.0
ABCB,y,1793508864.0
ABEO,y,239376000.0
ABEV,y,38932946944.0
ABG,y,1977356416.0
ABIO,y,40628328.0
ABM,y,2584644608.0
ABMD,y,14000607232.0
ABR,y,1279228160.0
ABT,y,179230769152.0
ABTX,y,537964032.0
ABUS,y,262053312.0
AC,y,919454592.0
ACA,y,2211550464.0
ACAD,y,6659940352.0
ACAM,y,389606336.0
ACAMU,y,327399616.0
ACB,y,1156381568.0
ACBI,y,237542272.0
ACC,y,4799227904.0
ACCO,y,662179328.0
ACEL,y,799459648.0
ACER,y,63882900.0
ACGL,y,13189965824.0
ACGLO,y,15335240704.0
ACGLP,y,15474853888.0
ACH,y,7345920512.0
ACHC,y,2762304256.0
ACHV,y,20614712.0
ACIA,y,2854065920.0
ACIU,y,482895168.0
ACIW,y,3536322560.0
ACLS,y,871099200.0
ACM,y,6179787776.0
ACMR,y,1839931136.0
ACN,y,147526189056.0
ACNB,y,193047648.0
ACOR,y,35534804.0
ACP,y,180073584.0
ACRE,y,325724096.0
ACRS,y,87919224.0
ACRX,y,106608224.0
ACST,y,73442816.0
ACTG,y,201642000.0
ACTT,y,404624992.0
ACTTU,y,468694208.0
ACU,y,75065096.0
ACV,y,269201408.0
ACY,y,4884981.0
ADAP,y,1226398336.0
ADBE,y,215642996736.0
ADC,y,3695793920.0
ADES,y,77670600.0
ADI,y,42916728832.0
ADIL,y,25016256.0
ADM,y,24465135616.0
ADMA,y,250415008.0
ADMP,y,87226544.0
ADMS,y,106437992.0
ADNT,y,1436348672.0
ADP,y,59330871296.0
ADPT,y,4901103616.0
ADRO,y,207105744.0
ADS,y,2202047232.0
ADSK,y,51783098368.0
ADSW,y,2742712832.0
ADT,y,9399293952.0
ADTN,y,594672960.0
ADUS,y,1545038592.0
ADVM,y,1482256640.0
ADX,y,1751970048.0
ADXS,y,33884180.0
AE,y,93864216.0
AEE,y,20289503232.0
AEF,y,338514496.0
AEG,y,6751809536.0
AEGN,y,533576096.0
AEHR,y,48791796.0
AEIS,y,3014334208.0
AEL,y,2288961536.0
AEM,y,19956203520.0
AEMD,y,23295872.0
AEO,y,1802295040.0
AEP,y,42917486592.0
AER,y,4093776640.0
AERI,y,585965248.0
AES,y,11409804288.0
AESE,y,59851204.0
AEY,y,24816980.0
AEYE,y,119730336.0
AEZS,y,19976002.0
AFB,y,398116864.0
AFG,y,5844401152.0
AFH,y,6449112.0
AFI,y,66077944.0
AFIN,y,829153920.0
AFINP,y,1041894464.0
AFL,y,26035546112.0
AFMD,y,290512128.0
AFT,y,199491424.0
AFYA,y,2486948352.0
AG,y,2734231808.0
AGBA,y,61721748.0
AGCO,y,5144166400.0
AGD,y,116585784.0
AGE,y,51589268.0
AGEN,y,655275008.0
AGFS,y,138464704.0
AGI,y,4112312064.0
AGIO,y,2988320768.0
AGLE,y,311306592.0
AGM,y,672455808.0
AGMH,y,432788672.0
AGNC,y,7571465728.0
AGNCM,y,8101731328.0
AGNCN,y,8215348224.0
AGO,y,2010380928.0
AGR,y,15218495488.0
AGRO,y,517397408.0
AGRX,y,231114992.0
AGS,y,146389984.0
AGTC,y,142226112.0
AGX,y,701902464.0
AGYS,y,554942976.0
AHC,y,41311536.0
AHCO,y,2300721408.0
AHH,y,811794688.0
AHPI,y,41540140.0
AHT,y,40852892.0
AI,y,96995424.0
AIF,y,182680320.0
AIG,y,26411565056.0
AIH,y,103896760.0
AIHS,y,14705413.0
AIKI,y,40507432.0
AIM,y,97546360.0
AIMC,y,2417487872.0
AIMT,y,901247936.0
AIN,y,1695750016.0
AINC,y,17212274.0
AINV,y,627793472.0
AIO,y,738976384.0
AIR,y,659866880.0
AIRG,y,129449080.0
AIRI,y,38835456.0
AIRT,y,35648732.0
AIRTP,y,505871104.0
AIT,y,2603432960.0
AIV,y,5512470528.0
AIW,y,245603504.0
AIZ,y,7290107392.0
AIZP,y,7017917440.0
AJG,y,20450801664.0
AJRD,y,3423171328.0
AJX,y,217328992.0
AKAM,y,17802860544.0
AKBA,y,1569217664.0
AKCA,y,1178548480.0
AKER,y,36627740.0
AKG,y,249907392.0
AKR,y,1089035904.0
AKRO,y,1219914880.0
AKRX,y,11983680.0
AKTS,y,289563872.0
AKTX,y,63904968.0
AL,y,3388834304.0
ALAC,y,155711888.0
ALACU,y,43258644.0
ALB,y,8980870144.0
ALBO,y,371791200.0
ALC,y,30063136768.0
ALCO,y,242699680.0
ALDX,y,245068800.0
ALE,y,3136707072.0
ALEC,y,1173643008.0
ALEX,y,862616512.0
ALG,y,1298418048.0
ALGN,y,24093761536.0
ALGR,y,157048576.0
ALGRU,y,199937024.0
ALGT,y,1919190272.0
ALIM,y,31750280.0
ALJJ,y,30364418.0
ALK,y,4526460416.0
ALKS,y,2973327616.0
ALL,y,30266544128.0
ALLE,y,9233485824.0
ALLK,y,4144656128.0
ALLO,y,5241558016.0
ALLT,y,400791936.0
ALLY,y,8026279936.0
ALNA,y,56797160.0
ALNY,y,16479971328.0
ALO,y,107664600.0
ALOT,y,51432420.0
ALPN,y,251309168.0
ALRM,y,2950189568.0
ALRN,y,56929320.0
ALRS,y,346347712.0
ALSK,y,124796656.0
ALSN,y,4241679104.0
ALT,y,876228416.0
ALTG,y,220745280.0
ALTM,y,223389376.0
ALTR,y,2989724672.0
ALUS,y,358296896.0
ALV,y,5887909888.0
ALX,y,1310785920.0
ALXN,y,22636185600.0
ALYA,y,97779008.0
AM,y,3307583232.0
AMAG,y,361578048.0
AMAL,y,373553632.0
AMAT,y,58260570112.0
AMBA,y,1591635328.0
AMBC,y,625341120.0
AMBO,y,66240384.0
AMC,y,519265248.0
AMCI,y,283644864.0
AMCIU,y,69743440.0
AMCR,y,17019696128.0
AMCX,y,1227923840.0
AMD,y,99618988032.0
AME,y,22455517184.0
AMED,y,7694607872.0
AMEH,y,611276032.0
AMG,y,3358340608.0
AMGN,y,140970688512.0
AMH,y,8799544320.0
AMHC,y,125000000.0
AMK,y,1753288064.0
AMKR,y,3142637568.0
AMN,y,2754690304.0
AMNB,y,265884272.0
AMOT,y,416569248.0
AMOV,y,54386958336.0
AMP,y,19276703744.0
AMPE,y,180072832.0
AMPH,y,930433728.0
AMPY,y,47027124.0
AMRB,y,58887880.0
AMRC,y,1448028032.0
AMRH,y,6793496.0
AMRK,y,178387888.0
AMRN,y,2699172096.0
AMRS,y,789825472.0
AMRX,y,1320490752.0
AMS,y,12286080.0
AMSC,y,265132848.0
AMSF,y,1309682048.0
AMSWA,y,556706432.0
AMT,y,114268323840.0
AMTB,y,539148544.0
AMTBB,y,535113792.0
AMTD,y,19927642112.0
AMTX,y,40746692.0
AMWD,y,1477055872.0
AMX,y,55301390336.0
AMZN,y,1586548965376.0
AN,y,4650309120.0
ANAB,y,503535232.0
ANAT,y,2009818240.0
ANCN,y,8013460.0
ANDA,y,141451104.0
ANDAU,y,36702004.0
ANDE,y,562919040.0
ANET,y,17546708992.0
ANF,y,617521408.0
ANGI,y,7761101312.0
ANGO,y,355461984.0
ANH,y,176452992.0
ANIK,y,489553312.0
ANIP,y,374364928.0
ANIX,y,65859640.0
ANPC,y,85130640.0
ANSS,y,26797971456.0
ANTE,y,11812510.0
ANTM,y,69581651968.0
ANVS,y,38109688.0
ANY,y,16637474.0
AOD,y,845556672.0
AON,y,45273677824.0
AOS,y,7894709248.0
AOSL,y,289649760.0
AP,y,37742596.0
APA,y,5865713152.0
APAM,y,3101359360.0
APD,y,62223630336.0
APDN,y,50782000.0
APEI,y,449939744.0
APEN,y,35514600.0
APEX,y,3685921.0
